country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","26-02-2026 10:00:00",28.3419248,77.319699,SO2,2,6,4
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","26-02-2026 10:00:00",28.806223,76.141105,PM2.5,37,143,73
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","26-02-2026 10:00:00",28.563262,77.186937,NH3,7,9,8
India,Delhi,Delhi,"Rohini, Delhi - DPCC","26-02-2026 10:00:00",28.732528,77.119920,NO2,16,89,54
India,Delhi,Delhi,"Rohini, Delhi - DPCC","26-02-2026 10:00:00",28.732528,77.119920,CO,21,92,45
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","26-02-2026 10:00:00",28.6514781,77.1473105,PM2.5,137,482,289
India,Delhi,Delhi,"Sirifort, Delhi - CPCB","26-02-2026 10:00:00",28.5504249,77.2159377,SO2,23,37,33
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","26-02-2026 10:00:00",28.710508,77.249485,OZONE,3,143,5
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","26-02-2026 10:00:00",28.531346,77.190156,SO2,9,16,12
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","26-02-2026 10:00:00",28.672342,77.315260,OZONE,4,94,4
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","26-02-2026 10:00:00",23.107969,72.574648,CO,22,90,26
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","26-02-2026 10:00:00",23.107969,72.574648,OZONE,1,46,10
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","26-02-2026 10:00:00",22.977134,72.553024,OZONE,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","26-02-2026 10:00:00",23.002657,72.591912,PM2.5,NA,NA,NA
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","26-02-2026 10:00:00",23.002657,72.591912,OZONE,40,60,47
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","26-02-2026 10:00:00",23.020509,72.579261,SO2,15,104,42
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","26-02-2026 10:00:00",23.016834,72.625775,NO2,7,280,78
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","26-02-2026 10:00:00",23.016834,72.625775,CO,46,69,48
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","26-02-2026 10:00:00",23.023389,72.515201,PM10,82,186,117
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","26-02-2026 10:00:00",23.023389,72.515201,OZONE,2,64,8
India,Delhi,Delhi,"Pusa, Delhi - DPCC","26-02-2026 10:00:00",28.639652,77.146275,SO2,5,18,11
India,Delhi,Delhi,"Pusa, Delhi - IMD","26-02-2026 10:00:00",28.636110,77.173332,PM2.5,50,290,136
India,Delhi,Delhi,"Pusa, Delhi - IMD","26-02-2026 10:00:00",28.636110,77.173332,CO,33,131,96
India,Gujarat,Surat,"Science Center, Surat - SMC","26-02-2026 10:00:00",21.170046,72.795405,CO,64,75,65
